2.378843426704406738e-01, 2.214063145220279694e-02, 3.080234117805957794e-02, 1.117503736168146133e-02, 6.857180595397949219e-01, 8.936470840126276016e-04, 1.138591859489679337e-02
4.479746222496032715e-01, 2.517684549093246460e-02, 3.161357641220092773e-01, 7.065652310848236084e-02, 1.493615470826625824e-02, 1.207881495356559753e-01, 4.331932403147220612e-03
1.396538922563195229e-03, 8.215432171709835529e-05, 1.054909516824409366e-04, 9.977649450302124023e-01, 3.657586639747023582e-04, 2.296493476023897529e-04, 5.548104309127666056e-05
1.325714401900768280e-03, 2.363450585107784718e-05, 3.089377714786678553e-04, 9.004868865013122559e-01, 9.578686876920983195e-05, 8.154805004596710205e-02, 1.621095836162567139e-02
2.086043953895568848e-01, 5.572868976742029190e-03, 6.847101449966430664e-01, 7.307719904929399490e-03, 5.115957558155059814e-02, 3.305179625749588013e-02, 9.593466296792030334e-03
1.190031133592128754e-02, 2.864755806513130665e-04, 5.667499452829360962e-02, 4.191834595985710621e-04, 8.931513428688049316e-01, 7.212859112769365311e-03, 3.035485744476318359e-02
4.410778637975454330e-04, 3.177071903337491676e-06, 6.423180457204580307e-05, 2.091777423629537225e-04, 1.218089135363698006e-03, 1.626922312425449491e-05, 9.980479478836059570e-01
8.746733888983726501e-03, 1.728474278934299946e-03, 2.655590325593948364e-02, 5.964183248579502106e-03, 9.503926038742065430e-01, 2.964561863336712122e-04, 6.315499078482389450e-03
1.723118621157482266e-04, 2.880111787817440927e-05, 1.960719004273414612e-02, 7.959485519677400589e-04, 4.397427255753427744e-04, 9.784637093544006348e-01, 4.923251108266413212e-04
2.428649663925170898e-01, 5.858908295631408691e-01, 4.232618585228919983e-02, 1.096564883482642472e-04, 1.279263645410537720e-01, 2.365169493714347482e-04, 6.454754038713872433e-04
1.222905586473643780e-03, 7.030171400401741266e-05, 4.332127515226602554e-03, 1.081680180504918098e-03, 1.036650314927101135e-02, 1.585167483426630497e-03, 9.813413619995117188e-01
1.886354002635926008e-04, 2.590633266663644463e-05, 3.279811935499310493e-03, 9.934654831886291504e-01, 6.089242524467408657e-04, 2.400114433839917183e-03, 3.105758150923065841e-05
